tick,lps,tnfAlfa,alfasin
1,0,300,0
2,0,300,0
3,0,300,0
4,0,300,0
5,0,300,0
6,0,300,0
7,0,300,0
8,0,300,0
9,0,300,0
10,0,300,0
11,0,300,0
12,0,300,0
13,0,300,0
14,0,300,0
15,0,300,0
16,0,300,0
17,0,300,0
18,0,300,0
19,0,300,0
20,0,300,0
21,0,300,0
22,0,300,0
23,0,300,0
24,0,300,0
25,0,300,0
26,0,300,0
27,0,300,0
28,0,300,0
29,0,300,0
30,0,300,0
31,0,300,0
32,0,300,0
33,0,300,0
34,0,300,0
35,0,300,0
36,0,300,0
37,0,300,0
38,0,300,0
39,0,300,0
40,0,300,0
41,0,300,0
42,0,300,0
43,0,300,0
44,0,300,0
45,0,300,0
46,0,300,0
47,0,300,0
48,0,300,0
49,0,300,0
50,0,300,0
51,0,300,0
52,0,300,0
53,0,300,0
54,0,300,0
55,0,300,0
56,0,300,0
57,0,300,0
58,0,300,0
59,0,300,0
60,0,300,0
61,0,300,0
62,0,300,0
63,0,300,0
64,0,300,0
65,0,300,0
66,0,300,0
67,0,300,0
68,0,300,0
69,0,300,0
70,0,300,0
71,0,300,0
72,0,300,0
73,0,300,0
74,0,300,0
75,0,300,0
76,0,300,0
77,0,300,0
78,0,300,0
79,0,300,0
80,0,300,0
81,0,300,0
82,0,300,0
83,0,300,0
84,0,300,0
85,0,300,0
86,0,300,0
87,0,300,0
88,0,300,0
89,0,300,0
90,0,300,0
91,0,300,0
92,0,300,0
93,0,300,0
94,0,300,0
95,0,300,0
96,0,300,0
97,0,300,0
98,0,300,0
99,0,300,0
100,0,300,0
101,0,300,0
102,0,300,0
103,0,300,0
104,0,300,0
105,0,300,0
106,0,300,0
107,0,300,0
108,0,300,0
109,0,300,0
110,0,300,0
111,0,300,0
112,0,300,0
113,0,300,0
114,0,300,0
115,0,300,0
116,0,300,0
117,0,300,0
118,0,300,0
119,0,300,0
120,0,300,0
121,0,300,0
122,0,300,0
123,0,300,0
124,0,300,0
125,0,300,0
126,0,300,0
127,0,300,0
128,0,300,0
129,0,300,0
130,0,300,0
131,0,300,0
132,0,300,0
133,0,300,0
134,0,300,0
135,0,300,0
136,0,300,0
137,0,300,0
138,0,300,0
139,0,300,0
140,0,300,0
141,0,300,0
142,0,300,0
143,0,300,0
144,0,300,0
145,0,300,0
146,0,300,0
147,0,300,0
148,0,300,0
149,0,300,0
150,0,300,0
151,0,300,0
152,0,300,0
153,0,300,0
154,0,300,0
155,0,300,0
156,0,300,0
157,0,300,0
158,0,300,0
159,0,300,0
160,0,300,0
161,0,300,0
162,0,300,0
163,0,300,0
164,0,300,0
165,0,300,0
166,0,300,0
167,0,300,0
168,0,300,0
169,0,300,0
170,0,300,0
171,0,300,0
172,0,300,0
173,0,300,0
174,0,300,0
175,0,300,0
176,0,300,0
177,0,300,0
178,0,300,0
179,0,300,0
180,0,300,0
181,0,300,0
182,0,300,0
183,0,300,0
184,0,300,0
185,0,300,0
186,0,300,0
187,0,300,0
188,0,300,0
189,0,300,0
190,0,300,0
191,0,300,0
192,0,300,0
193,0,300,0
194,0,300,0
195,0,300,0
196,0,300,0
197,0,300,0
198,0,300,0
199,0,300,0
200,0,300,0
201,0,300,0
202,10,300,0
203,20,300,0
204,30,300,0
205,40,300,0
206,50,300,0
207,60,300,0
208,70,300,0
209,80,300,0
210,90,300,0
211,100,300,0
212,110,300,0
213,120,300,0
214,130,300,0
215,140,300,0
216,150,300,0
217,160,300,0
218,170,300,0
219,180,300,0
220,190,300,1
221,200,300,1
222,210,300,1
223,220,300,1
224,230,300,1
225,240,300,1
226,250,300,2
227,260,300,2
228,270,300,3
229,280,300,4
230,290,300,6
231,300,300,9
232,310,300,11
233,320,300,14
234,330,300,15
235,340,300,17
236,350,300,17
237,360,300,17
238,370,300,18
239,380,300,19
240,390,300,21
241,400,300,25
242,400,300,25
243,400,300,26
244,400,300,26
245,400,300,28
246,400,300,29
247,400,300,29
248,400,300,29
249,400,300,28
250,400,300,28
251,400,300,28
252,400,300,29
253,400,300,21
254,400,300,22
255,400,300,25
256,400,300,27
257,400,300,20
258,400,300,22
259,400,300,24
260,400,300,26
261,400,300,20
262,400,300,23
263,400,300,26
264,400,300,26
265,400,300,27
266,400,300,29
267,400,300,29
268,400,300,21
269,400,300,22
270,400,300,22
271,400,300,23
272,400,300,24
273,400,300,28
274,400,300,27
275,400,300,29
276,400,300,20
277,400,300,23
278,400,300,23
279,400,300,25
280,400,300,28
281,400,300,29
282,400,300,31
283,400,300,33
284,400,300,30
285,400,300,32
286,400,300,36
287,400,300,30
288,400,300,33
289,400,300,26
290,400,300,29
291,400,300,25
292,400,300,25
293,400,300,25
294,400,300,25
295,400,300,25
296,400,300,26
297,400,300,27
298,400,300,25
299,400,300,29
300,400,300,28
301,400,300,33
302,400,300,29
303,400,300,30
304,400,300,33
305,400,300,32
306,400,300,25
307,400,300,29
308,400,300,31
309,400,300,24
310,400,300,26
311,400,300,28
312,400,300,21
313,400,300,25
314,400,300,29
315,400,300,23
316,400,300,25
317,400,300,26
318,400,300,26
319,400,300,28
320,400,300,29
321,400,300,25
322,400,300,27
323,400,300,29
324,400,300,30
325,400,300,26
326,400,300,27
327,400,300,27
328,400,300,31
329,400,300,27
330,400,300,31
331,400,300,27
332,400,300,28
333,400,300,23
334,400,300,25
335,400,300,29
336,400,300,23
337,400,300,27
338,400,300,24
339,400,300,28
340,400,300,30
341,400,300,33
342,400,300,34
343,400,300,35
344,400,300,33
345,400,300,34
346,400,300,29
347,400,300,24
348,400,300,29
349,400,300,27
350,400,300,25
351,400,300,27
352,400,300,26
353,400,300,26
354,400,300,29
355,400,300,33
356,400,300,29
357,400,300,21
358,400,300,25
359,400,300,27
360,400,300,36
361,400,300,38
362,400,300,33
363,400,300,27
364,400,300,26
365,400,300,28
366,400,300,29
367,400,300,26
368,400,300,28
369,400,300,27
370,400,300,29
371,400,300,25
372,400,300,28
373,400,300,23
374,400,300,25
375,400,300,25
376,400,300,26
377,400,300,26
378,400,300,27
379,400,300,23
380,400,300,29
381,400,300,32
382,400,300,36
383,400,300,31
384,400,300,27
385,400,300,29
386,400,300,26
387,400,300,28
388,400,300,21
389,400,300,23
390,400,300,25
391,400,300,29
392,400,300,24
393,400,300,28
394,400,300,32
395,400,300,29
396,400,300,24
397,400,300,27
398,400,300,29
399,400,300,22
400,400,300,25
401,400,300,28
402,400,300,21
403,400,300,24
404,400,300,25
405,400,300,28
406,400,300,25
407,400,300,28
408,400,300,26
409,400,300,28
410,400,300,28
411,400,300,28
412,400,300,26
