tick,scfa,lps,permeability,cellEpit
1,500,300,40.0,100
2,500,300,40.0,100
3,500,300,40.0,100
4,500,300,40.0,100
5,500,300,40.0,100
6,500,300,40.0,100
7,500,300,40.0,100
8,500,300,40.0,100
9,500,300,40.0,100
10,500,300,40.0,100
11,496,300,40.0,100
12,492,300,40.0,100
13,488,300,40.0,100
14,484,300,40.0,100
15,480,300,40.0,100
16,476,300,40.0,100
17,472,300,40.0,100
18,468,300,40.0,100
19,464,300,40.0,100
20,460,300,40.0,100
21,456,300,40.0,100
22,452,300,40.0,100
23,448,300,40.0,100
24,444,300,40.0,100
25,440,300,40.0,100
26,436,300,40.0,100
27,432,300,40.0,100
28,428,300,40.0,100
29,424,300,40.0,100
30,420,300,40.0,100
31,416,300,40.0,100
32,412,300,40.0,100
33,408,300,40.0,100
34,404,300,40.0,100
35,400,300,40.0,100
36,396,300,40.8,100
37,392,300,41.616,100
38,388,300,42.44832,100
39,384,300,43.297286400000004,100
40,380,300,44.163232128000004,100
41,376,300,45.046496770560005,100
42,372,300,45.9474267059712,100
43,368,300,46.866375240090626,100
44,364,300,47.80370274489244,100
45,360,300,48.75977679979029,100
46,356,300,49.7349723357861,100
47,352,300,50.72967178250182,100
48,348,300,51.74426521815185,100
49,344,300,52.77915052251489,100
50,340,300,53.83473353296519,100
51,336,300,54.91142820362449,100
52,332,300,56.00965676769698,100
53,328,300,57.12984990305092,100
54,324,300,58.272446901111934,100
55,320,300,59.43789583913417,100
56,316,300,60.626653755916855,100
57,312,300,61.83918683103519,100
58,308,300,63.075970567655894,100
59,304,300,64.337489979009,100
60,300,300,65.62423977858919,100
61,296,300,66.93672457416096,100
62,292,300,68.27545906564418,100
63,288,300,69.64096824695707,100
64,284,300,71.03378761189622,100
65,280,300,72.45446336413414,100
66,276,300,73.90355263141683,100
67,272,300,75.38162368404517,100
68,268,300,76.88925615772607,100
69,264,300,78.42704128088059,100
70,260,300,79.9955821064982,100
71,256,300,81.59549374862817,100
72,252,300,83.22740362360074,100
73,248,300,84.89195169607275,100
74,244,300,86.5897907299942,100
75,240,300,88.32158654459408,100
76,236,300,90.08801827548596,100
77,232,300,91.88977864099569,100
