tick,scfa,lps,permeability,cellEpit,probioticArtificialAgent
1,500,300,40.0,100,0
2,500,300,40.0,100,0
3,500,300,40.0,100,0
4,500,300,40.0,100,0
5,500,300,40.0,100,0
6,500,300,40.0,100,0
7,500,300,40.0,100,0
8,500,300,40.0,100,0
9,500,300,40.0,100,0
10,500,300,40.0,100,0
11,496,300,40.0,100,0
12,492,300,40.0,100,0
13,488,300,40.0,100,0
14,484,300,40.0,100,0
15,480,300,40.0,100,0
16,476,300,40.0,100,0
17,472,300,40.0,100,0
18,468,300,40.0,100,0
19,464,300,40.0,100,0
20,460,300,40.0,100,0
21,456,300,40.0,100,0
22,452,300,40.0,100,0
23,448,300,40.0,100,0
24,444,300,40.0,100,0
25,440,300,40.0,100,0
26,436,300,40.0,100,0
27,432,300,40.0,100,0
28,428,300,40.0,100,0
29,424,300,40.0,100,0
30,420,300,40.0,100,0
31,416,300,40.0,100,0
32,412,300,40.0,100,0
33,408,300,40.0,100,0
34,404,300,40.0,100,0
35,400,300,40.0,100,0
36,396,300,42.0,100,0
37,392,300,44.1,100,0
38,388,300,46.305,100,0
39,384,300,48.62025,100,0
40,380,300,51.0512625,100,0
41,376,300,53.603825625,100,0
42,372,300,56.28401690625,100,0
43,368,300,59.0982177515625,100,0
44,364,300,62.053128639140624,100,0
45,360,300,65.15578507109765,100,0
46,356,300,68.41357432465253,100,0
47,352,300,71.83425304088516,100,0
48,348,300,75.42596569292942,100,0
49,344,300,79.1972639775759,100,0
50,340,300,83.1571271764547,100,0
51,336,300,87.31498353527743,100,0
52,332,300,91.6807327120413,100,0
53,328,300,96.26476934764337,100,0
54,324,300,101.07800781502553,100,0
55,320,300,106.13190820577681,100,0
56,316,300,111.43850361606565,100,0
57,312,300,117.01042879686892,100,0
58,308,300,122.86095023671237,100,0
59,304,300,129.003997748548,100,0
60,300,300,135.4541976359754,100,0
61,296,300,142.22690751777415,100,0
62,292,300,149.33825289366285,100,0
63,288,300,156.805165538346,100,0
64,284,300,164.64542381526329,100,0
65,280,300,172.87769500602644,100,0
66,276,300,181.52157975632775,100,0
67,272,300,190.59765874414416,100,0
68,268,300,200.12754168135137,100,0
69,264,300,210.13391876541894,100,0
70,260,300,220.6406147036899,100,0
71,256,300,231.67264543887438,100,0
72,252,300,243.2562777108181,100,0
73,248,290,255.419091596359,100,0
74,244,280,268.19004617617696,100,0
75,240,270,281.5995484849858,100,0
76,236,260,295.6795259092351,100,0
77,232,250,310.46350220469685,100,0
78,228,240,325.9866773149317,100,0
79,224,230,325.9866773149317,100,0
80,220,220,325.9866773149317,100,0
81,216,210,325.9866773149317,100,0
82,212,200,325.9866773149317,100,0
83,208,190,325.9866773149317,100,0
84,204,180,325.9866773149317,100,0
85,200,170,325.9866773149317,100,0
86,196,160,325.9866773149317,100,0
87,192,150,325.9866773149317,100,0
88,188,140,325.9866773149317,100,0
89,184,130,325.9866773149317,100,0
90,180,120,325.9866773149317,100,0
91,176,110,325.9866773149317,100,0
92,172,100,325.9866773149317,100,0
93,168,90,325.9866773149317,100,0
94,164,80,325.9866773149317,100,0
95,160,70,325.9866773149317,100,0
96,156,60,325.9866773149317,100,0
97,152,50,325.9866773149317,100,0
98,148,40,325.9866773149317,100,0
99,144,30,325.9866773149317,100,0
100,140,20,325.9866773149317,100,0
101,136,10,325.9866773149317,100,0
102,132,0,325.9866773149317,100,0
103,128,0,325.9866773149317,100,0
104,124,0,325.9866773149317,100,0
105,120,0,325.9866773149317,100,0
106,116,0,325.9866773149317,100,0
107,112,0,325.9866773149317,100,0
108,108,0,325.9866773149317,100,0
109,104,0,325.9866773149317,100,0
110,100,0,325.9866773149317,100,0
111,96,0,325.9866773149317,100,0
112,92,0,325.9866773149317,100,0
113,88,0,325.9866773149317,100,0
114,84,0,325.9866773149317,100,0
115,80,0,325.9866773149317,100,0
116,76,0,325.9866773149317,100,0
117,72,0,325.9866773149317,100,0
118,68,0,325.9866773149317,100,0
119,64,0,325.9866773149317,100,0
120,60,0,325.9866773149317,100,0
121,56,0,325.9866773149317,100,0
122,52,0,325.9866773149317,100,0
123,48,0,325.9866773149317,100,0
124,44,0,325.9866773149317,100,0
125,41,0,325.9866773149317,100,0
126,40,0,325.9866773149317,100,0
127,40,0,325.9866773149317,100,0
128,40,0,325.9866773149317,100,0
129,40,0,325.9866773149317,100,0
130,40,0,325.9866773149317,100,0
131,40,0,325.9866773149317,100,0
132,40,0,325.9866773149317,100,0
133,40,0,325.9866773149317,100,0
134,40,0,325.9866773149317,100,0
135,40,0,325.9866773149317,100,0
136,40,0,325.9866773149317,100,0
137,40,0,325.9866773149317,100,0
138,40,0,325.9866773149317,100,0
139,40,0,325.9866773149317,100,0
140,40,0,325.9866773149317,100,0
141,40,0,325.9866773149317,100,0
142,40,0,325.9866773149317,100,0
143,40,0,325.9866773149317,100,0
144,40,0,325.9866773149317,100,0
145,40,0,325.9866773149317,100,0
146,40,0,325.9866773149317,100,0
147,40,0,325.9866773149317,100,0
148,40,0,325.9866773149317,100,0
149,40,0,325.9866773149317,100,0
150,40,0,325.9866773149317,100,0
151,40,0,325.9866773149317,100,0
152,40,0,325.9866773149317,100,0
153,40,0,325.9866773149317,100,0
154,40,0,325.9866773149317,100,0
155,40,0,325.9866773149317,100,0
156,40,0,325.9866773149317,100,0
157,40,0,325.9866773149317,100,0
158,40,0,325.9866773149317,100,0
159,40,0,325.9866773149317,100,0
160,40,0,325.9866773149317,100,0
161,40,0,325.9866773149317,100,0
