tick,nadh,alfasinucleina,ros,artificialAgent,electron,oxygen
1,300,150,4,100,4,100
2,300,150,4,100,4,100
3,300,150,5,100,4,100
4,300,150,6,100,4,100
5,300,150,8,100,4,100
6,300,150,8,100,4,100
7,300,150,8,100,4,100
8,300,150,8,100,4,100
9,300,150,9,100,4,100
10,300,150,9,100,4,100
11,300,150,9,100,4,100
12,300,150,11,100,4,100
13,300,150,15,100,8,100
14,300,150,20,100,11,100
15,300,150,31,100,14,100
16,300,150,36,100,16,100
17,300,150,44,100,18,100
18,300,150,48,100,21,100
19,300,150,50,100,22,100
20,300,150,58,100,27,100
21,300,150,77,100,30,100
22,300,150,93,100,33,100
23,300,150,114,100,37,100
24,300,150,138,100,40,100
25,300,150,158,100,43,100
26,300,150,174,100,45,100
27,300,150,188,100,47,100
28,300,150,203,100,49,100
29,300,150,222,100,52,100
30,300,150,231,100,54,100
31,300,150,255,100,60,100
32,300,150,272,100,63,100
33,300,150,287,100,66,100
34,300,150,296,100,69,100
35,300,150,311,100,71,100
36,300,150,324,100,73,100
37,300,150,329,100,75,100
38,300,150,341,100,77,100
39,300,150,345,100,77,100
40,300,150,356,100,79,100
41,300,150,359,100,80,100
42,300,150,374,100,81,100
43,300,150,377,100,82,100
44,300,150,388,100,85,100
45,300,150,390,100,85,100
46,300,150,401,100,87,100
47,300,150,410,100,89,100
48,300,150,412,100,91,100
49,300,150,422,100,94,100
50,300,150,429,100,95,100
