tick,lps,tnfAlfa
1,4,50
2,4,50
3,4,50
4,4,50
5,4,50
6,4,50
7,4,50
8,4,50
9,4,50
10,4,50
11,4,50
12,4,50
13,4,50
14,4,50
15,4,50
16,4,50
17,4,50
18,4,50
19,4,50
20,4,50
21,4,50
22,4,50
23,4,50
24,4,50
25,4,50
26,4,50
27,4,50
28,4,50
29,4,50
30,4,50
31,4,50
32,4,50
33,4,50
34,4,50
35,4,50
36,4,50
37,4,50
38,4,50
39,4,50
40,4,50
41,4,50
42,4,50
43,4,50
44,4,50
45,4,50
46,4,50
47,4,50
48,4,50
49,4,50
50,4,50
51,4,50
52,4,50
53,4,50
54,4,50
55,4,50
56,4,50
57,4,50
58,4,50
59,4,50
60,4,50
61,4,50
62,4,50
63,4,50
64,4,50
65,4,50
66,4,50
67,4,50
68,4,50
69,4,50
70,4,50
71,4,50
72,4,50
73,4,50
74,4,50
75,4,50
76,4,50
77,4,50
78,4,50
79,4,50
80,4,50
81,4,50
82,4,50
83,4,50
84,4,50
85,4,50
86,4,50
87,4,50
88,4,50
89,4,50
90,4,50
91,4,50
92,4,50
93,4,50
94,4,50
95,4,50
96,4,50
97,4,50
98,4,50
99,4,50
100,4,50
101,4,50
102,4,50
103,4,50
104,4,50
105,4,50
106,4,50
107,4,50
108,4,50
109,4,50
110,4,50
111,4,50
112,4,50
113,4,50
114,4,50
115,4,50
116,4,50
117,4,50
118,4,50
119,4,50
120,4,50
121,4,50
122,4,50
123,4,50
124,4,50
125,4,50
126,4,50
127,4,50
128,4,50
129,4,50
130,4,50
131,4,50
132,4,50
133,4,50
134,4,50
135,4,50
136,4,50
137,4,50
138,4,50
139,4,50
140,4,50
141,4,50
142,4,50
143,4,50
144,4,50
145,4,50
146,4,50
147,4,50
148,10,50
149,20,50
150,30,50
151,40,50
152,50,50
153,60,50
154,70,50
155,80,50
156,90,50
157,100,50
158,110,50
159,120,50
160,130,50
161,140,50
162,150,50
163,160,50
164,170,50
165,180,50
166,190,50
167,200,50
168,210,50
169,220,50
170,230,50
171,240,50
172,250,50
173,260,50
174,270,50
175,280,50
176,290,50
177,300,50
178,310,50
179,320,50
180,330,50
181,340,50
182,350,50
183,360,50
184,370,50
185,380,50
186,390,50
187,400,50
188,400,50
189,400,50
190,400,50
191,400,50
192,400,50
193,400,50
194,400,50
195,400,50
196,400,50
197,400,50
198,400,50
199,400,50
200,400,50
