tick,scfa,lps_microbiota,permeability,cellEpit,lps_lumen,tnfAlfa,alfasin,nadh,alfasinucleina,ros,electron,oxygen
1,500,300,40.0,100,0,0,0,500,0,0,0,700
2,500,300,40.0,100,0,0,0,500,0,0,0,700
3,500,300,40.0,100,0,0,0,500,0,0,0,700
4,500,300,40.0,100,0,0,0,500,0,0,0,700
5,500,300,40.0,100,0,0,0,500,0,0,0,700
6,500,300,40.0,100,0,0,0,500,0,0,0,700
7,500,300,40.0,100,0,0,0,500,0,0,0,700
8,500,300,40.0,100,0,0,0,500,0,0,0,700
9,500,300,40.0,100,0,0,0,500,0,0,0,700
10,500,300,40.0,100,0,0,0,500,0,0,0,700
11,496,300,40.0,100,0,0,0,500,0,0,0,700
12,492,300,40.0,100,0,0,0,500,0,0,0,700
13,488,300,40.0,100,0,0,0,500,0,0,0,700
14,484,300,40.0,100,0,0,0,500,0,0,0,700
15,480,300,40.0,100,0,0,0,500,0,0,0,700
16,476,300,40.0,100,0,0,0,500,0,0,0,700
17,472,300,40.0,100,0,0,0,500,0,0,0,700
18,468,300,40.0,100,0,0,0,500,0,0,0,700
19,464,300,40.0,100,0,0,0,500,0,0,0,700
20,460,300,40.0,100,0,0,0,500,0,0,0,700
21,456,300,40.0,100,0,0,0,500,0,0,0,700
22,452,300,40.0,100,0,0,0,500,0,0,0,700
23,448,300,40.0,100,0,0,0,500,0,0,0,700
24,444,300,40.0,100,0,0,0,500,0,0,0,700
25,440,300,40.0,100,0,0,0,500,0,0,0,700
26,436,300,40.0,100,0,0,0,500,0,0,0,700
27,432,300,40.0,100,0,0,0,500,0,0,0,700
28,428,300,40.0,100,0,0,0,500,0,0,0,700
29,424,300,40.0,100,0,0,0,500,0,0,0,700
30,420,300,40.0,100,0,0,0,500,0,0,0,700
31,416,300,40.0,100,0,0,0,500,0,0,0,700
32,412,300,40.0,100,0,0,0,500,0,0,0,700
33,408,300,40.0,100,0,0,0,500,0,0,0,700
34,404,300,40.0,100,0,0,0,500,0,0,0,700
35,400,300,40.0,100,0,0,0,500,0,0,0,700
36,396,300,40.8,100,0,0,0,500,0,0,0,700
37,392,300,41.616,100,0,0,0,500,0,0,0,700
38,388,300,42.44832,100,0,0,0,500,0,0,0,700
39,384,300,43.2972864,100,0,0,0,500,0,0,0,700
40,380,300,44.163232128,100,0,0,0,500,0,0,0,700
41,376,300,45.046496770560005,100,0,0,0,500,0,0,0,700
42,372,300,45.9474267059712,100,0,0,0,500,0,0,0,700
43,368,300,46.86637524009063,100,0,0,0,500,0,0,0,700
44,364,300,47.80370274489244,100,0,0,0,500,0,0,0,700
45,360,300,48.75977679979029,100,0,0,0,500,0,0,0,700
46,356,300,49.7349723357861,100,0,0,0,500,0,0,0,700
47,352,300,50.72967178250182,100,0,0,0,500,0,0,0,700
48,348,300,51.74426521815185,100,0,0,0,500,0,0,0,700
49,344,300,52.77915052251489,100,0,0,0,500,0,0,0,700
50,340,300,53.83473353296519,100,0,0,0,500,0,0,0,700
51,336,300,54.91142820362449,100,0,0,0,500,0,0,0,700
52,332,300,56.00965676769698,100,0,0,0,500,0,0,0,700
53,328,300,57.12984990305092,100,0,0,0,500,0,0,0,700
54,324,300,58.272446901111934,100,0,0,0,500,0,0,0,700
55,320,300,59.43789583913417,100,0,0,0,500,0,0,0,700
56,316,300,60.626653755916855,100,0,0,0,500,0,0,0,700
57,312,300,61.83918683103519,100,0,0,0,500,0,0,0,700
58,308,300,63.07597056765589,100,0,0,0,500,0,0,0,700
59,304,300,64.337489979009,100,0,0,0,500,0,0,0,700
60,300,300,65.62423977858919,100,0,0,0,500,0,0,0,700
61,296,300,66.93672457416096,100,0,0,0,500,0,0,0,700
62,292,300,68.27545906564418,100,0,0,0,500,0,0,0,700
63,288,300,69.64096824695707,100,0,0,0,500,0,0,0,700
64,284,300,71.03378761189622,100,0,0,0,500,0,0,0,700
65,280,300,72.45446336413414,100,0,0,0,500,0,0,0,700
66,276,300,73.90355263141683,100,0,0,0,500,0,0,0,700
67,272,300,75.38162368404517,100,0,0,0,500,0,0,0,700
68,268,300,76.88925615772607,100,0,0,0,500,0,0,0,700
69,264,300,78.42704128088059,100,0,0,0,500,0,0,0,700
70,260,300,79.9955821064982,100,0,0,0,500,0,0,0,700
71,256,300,81.59549374862817,100,0,0,0,500,0,0,0,700
72,252,300,83.22740362360074,100,0,0,0,500,0,0,0,700
73,248,300,84.89195169607275,100,0,0,0,500,0,0,0,700
74,244,300,86.5897907299942,100,0,0,0,500,0,0,0,700
75,240,300,88.32158654459408,100,0,0,0,500,0,0,0,700
76,236,300,90.08801827548596,100,0,0,0,500,0,0,0,700
77,232,300,91.88977864099569,100,0,0,0,500,0,0,0,700
78,228,300,93.7275742138156,100,0,0,0,500,0,0,0,700
79,224,300,95.60212569809192,100,0,0,0,500,0,0,0,700
80,220,300,97.51416821205376,100,0,0,0,500,0,0,0,700
81,216,300,99.46445157629482,100,0,0,0,500,0,0,0,700
82,212,300,101.45374060782072,100,0,0,0,500,0,0,0,700
83,208,300,103.48281541997711,100,0,0,0,500,0,0,0,700
84,204,300,105.55247172837667,100,0,0,0,500,0,0,0,700
85,200,300,107.6635211629442,100,0,0,0,500,0,0,0,700
86,196,300,109.8167915862031,100,0,0,0,500,0,0,0,700
87,192,300,112.01312741792717,100,0,0,0,500,0,0,0,700
88,188,300,114.2533899662857,100,0,0,0,500,0,0,0,700
89,184,300,116.5384577656114,100,0,0,0,500,0,0,0,700
90,180,300,118.86922692092364,100,0,0,0,500,0,0,0,700
91,176,300,121.2466114593421,100,0,0,0,500,0,0,0,700
92,172,300,123.67154368852894,100,0,0,0,500,0,0,0,700
93,168,300,126.14497456229952,100,0,0,0,500,0,0,0,700
94,164,300,128.66787405354552,100,0,0,0,500,0,0,0,700
95,160,300,131.24123153461642,100,0,0,0,500,0,0,0,700
96,156,300,133.86605616530875,100,0,0,0,500,0,0,0,700
97,152,300,136.54337728861492,100,0,0,0,500,0,0,0,700
98,148,300,139.27424483438722,100,0,0,0,500,0,0,0,700
99,144,300,142.05972973107495,100,0,0,0,500,0,0,0,700
100,140,300,144.90092432569645,100,0,0,0,500,0,0,0,700
101,136,300,147.79894281221038,100,0,0,0,500,0,0,0,700
102,132,300,150.7549216684546,100,0,0,0,500,0,0,0,700
103,128,300,153.7700201018237,100,0,0,0,500,0,0,0,700
104,124,300,156.84542050386017,100,0,0,0,500,0,0,0,700
105,120,300,159.98232891393738,100,0,0,0,500,0,0,0,700
106,116,300,163.18197549221614,100,0,0,0,500,0,0,0,700
107,112,297,166.44561500206046,100,3,0,0,500,0,0,0,700
108,108,294,169.77452730210166,100,6,0,0,500,0,0,0,700
